Date,Open,High,Low,Close,Adj Close,Volume
2021-11-30,141.479996,142.500000,140.009995,140.630005,138.418228,21606300
2021-12-01,140.509995,140.720001,137.039993,137.139999,134.983109,12207100
2021-12-02,137.630005,138.440002,135.240005,135.470001,133.339386,13268600
2021-12-03,135.860001,137.880005,135.289993,137.509995,135.347290,14714200
2021-12-06,137.559998,139.360001,137.100006,139.000000,136.813858,10863100
2021-12-07,139.600006,139.830002,138.089996,138.550003,136.370941,12579700
2021-12-08,138.059998,138.500000,136.009995,137.149994,134.992966,11498800
2021-12-09,136.630005,138.570007,135.710007,138.500000,136.870605,10783900
2021-12-10,138.339996,141.300003,137.570007,141.029999,139.370834,12858500
2021-12-13,140.240005,143.750000,140.009995,143.570007,141.880966,18013100
2021-12-14,143.300003,145.279999,142.149994,144.940002,143.234848,15573800
2021-12-15,145.210007,146.470001,143.399994,145.770004,144.055084,11163300
2021-12-16,145.770004,146.529999,142.889999,143.339996,141.653656,13023200
2021-12-17,142.750000,143.949997,138.389999,138.750000,137.117661,26193700
2021-12-20,138.119995,139.750000,137.600006,139.199997,137.562363,10339300
2021-12-21,138.899994,139.860001,138.009995,139.619995,137.977402,8206800
2021-12-22,139.899994,139.990005,138.529999,139.800003,138.155304,5676000
2021-12-23,139.800003,140.160004,138.850006,139.490005,137.848953,5864200
2021-12-27,139.600006,140.869995,139.570007,140.759995,139.104019,5346900
2021-12-28,140.600006,142.970001,140.600006,142.779999,141.100250,5261000
2021-12-29,142.660004,143.529999,142.320007,142.710007,141.031067,4348400
2021-12-30,143.259995,143.699997,142.479996,143.169998,141.485657,4983000
2021-12-31,143.199997,145.039993,142.919998,144.690002,142.987793,5982600
2022-01-03,144.000000,144.789993,143.009995,144.649994,142.948257,6902200
2022-01-04,144.039993,145.139999,141.759995,142.000000,140.329437,11310000
2022-01-05,142.850006,145.949997,142.740005,143.919998,142.226837,11806000
2022-01-06,143.619995,144.639999,142.399994,143.520004,141.831558,7276300
2022-01-07,143.500000,145.360001,142.960007,144.889999,143.185425,6574500
2022-01-10,145.440002,145.589996,143.119995,144.610001,142.908722,7577200
2022-01-11,144.210007,144.619995,143.179993,144.199997,142.503540,7222900
2022-01-12,143.679993,143.960007,143.000000,143.440002,141.752502,6315600
2022-01-13,143.429993,145.679993,143.110001,145.470001,143.758606,8084200
2022-01-14,144.220001,146.630005,144.220001,145.059998,143.353424,8955800
2022-01-18,144.410004,144.699997,142.130005,142.520004,140.843307,7041300
2022-01-19,142.539993,144.990005,141.919998,143.940002,142.246597,7558000
2022-01-20,142.350006,144.460007,141.070007,141.220001,139.558609,7462400
2022-01-21,141.220001,142.259995,140.059998,140.190002,138.540726,9169400
2022-01-24,139.070007,140.529999,137.309998,140.199997,138.550598,9566400
2022-01-25,139.990005,140.369995,136.809998,137.149994,135.536484,9826500
2022-01-26,137.339996,138.789993,135.160004,135.750000,134.152954,8728500
2022-01-27,136.919998,139.080002,135.369995,135.839996,134.241898,9253000
2022-01-28,136.000000,137.570007,133.949997,137.520004,135.902145,8377300
2022-01-31,137.089996,140.039993,136.699997,139.809998,138.165192,6731200
2022-02-01,139.210007,141.149994,138.990005,140.910004,139.252243,6774400
2022-02-02,141.000000,141.639999,140.149994,140.850006,139.192947,6049900
2022-02-03,140.259995,141.990005,139.770004,140.990005,139.331314,6913700
2022-02-04,140.889999,141.000000,138.350006,139.330002,137.690842,7345500
2022-02-07,140.059998,140.070007,137.610001,137.960007,136.336945,6670100
2022-02-08,138.320007,139.240005,137.509995,137.990005,136.366608,6486300
2022-02-09,138.500000,138.789993,137.470001,137.690002,136.070145,7157900
2022-02-10,136.550003,137.009995,135.460007,136.080002,134.479080,9270200
2022-02-11,136.820007,137.179993,134.169998,135.330002,133.737900,7911100
2022-02-14,135.330002,135.960007,132.710007,133.949997,132.374130,9787800
